subscriber_id,timestamp,latitude,longitude,confidence_radius_m,num_towers_used,num_operators_used,operators,method
SAMPLE_multilateration_demo,2026-07-08T12:00:00+00:00,21.171124635060924,72.7910183611906,21.4,5,3,"Airtel,Jio,Vi",wls_multilateration
SAMPLE_multilateration_demo,2026-07-08T12:00:15+00:00,21.171808153048225,72.79187430188117,2.2,3,2,"Airtel,Jio",wls_multilateration
SAMPLE_multilateration_demo,2026-07-08T12:00:30+00:00,21.172483784436704,72.79272270198254,86.9,1,1,Airtel,single_tower_fallback
SAMPLE_multilateration_demo,2026-07-08T12:00:45+00:00,21.173033562682924,72.79492454613916,2.2,2,2,"Airtel,Jio",wls_multilateration
SAMPLE_multilateration_demo,2026-07-08T12:01:00+00:00,21.174367638590123,72.79588837204729,2.2,2,2,"Airtel,Jio",wls_multilateration
SAMPLE_multilateration_demo,2026-07-08T12:01:15+00:00,21.174949587371486,72.79730278611045,2.2,2,2,"Airtel,Jio",wls_multilateration
SAMPLE_multilateration_demo,2026-07-08T12:01:30+00:00,21.175850667197782,72.79857148491072,2.2,2,2,"Airtel,Jio",wls_multilateration
SAMPLE_multilateration_demo,2026-07-08T12:01:45+00:00,21.176660992267177,72.79988155819632,20.4,3,2,"Airtel,Jio",wls_multilateration
SAMPLE_multilateration_demo,2026-07-08T12:02:00+00:00,21.17754336347492,72.80122695520788,33.3,5,3,"Airtel,Jio,Vi",wls_multilateration
SAMPLE_multilateration_demo,2026-07-08T12:02:15+00:00,21.17814317680222,72.80242646985056,39.7,6,3,"Airtel,Jio,Vi",wls_multilateration
SAMPLE_multilateration_demo,2026-07-08T12:02:30+00:00,21.179199591125204,72.80385209660945,29.1,6,3,"Airtel,Jio,Vi",wls_multilateration
SAMPLE_multilateration_demo,2026-07-08T12:02:45+00:00,21.180015539534818,72.80515965652675,38.9,5,3,"Airtel,Jio,Vi",wls_multilateration
