tower_id,site_id,operator,latitude,longitude,azimuth_deg,beamwidth_deg,max_range_m
JIO000S0,JIO000,Jio,21.18504819212033,72.79994236739567,279.2468484882697,65.0,812.6035949952959
JIO000S1,JIO000,Jio,21.18504819212033,72.79994236739567,39.24684848826968,65.0,812.6035949952959
JIO000S2,JIO000,Jio,21.18504819212033,72.79994236739567,159.24684848826973,65.0,812.6035949952959
AIR001S0,AIR001,Airtel,21.184412131140938,72.79213028830065,1.8955096436069008,65.0,1110.614209191383
AIR001S1,AIR001,Airtel,21.184412131140938,72.79213028830065,121.8955096436069,65.0,1110.614209191383
AIR001S2,AIR001,Airtel,21.184412131140938,72.79213028830065,241.8955096436069,65.0,1110.614209191383
VI002S0,VI002,Vi,21.17541236400597,72.80422437745224,109.09167365495287,65.0,839.2128060503867
VI002S1,VI002,Vi,21.17541236400597,72.80422437745224,229.09167365495287,65.0,839.2128060503867
VI002S2,VI002,Vi,21.17541236400597,72.80422437745224,349.09167365495284,65.0,839.2128060503867
JIO003S0,JIO003,Jio,21.17472639378324,72.79118384846754,181.63737322486318,65.0,976.7486760372462
JIO003S1,JIO003,Jio,21.17472639378324,72.79118384846754,301.63737322486315,65.0,976.7486760372462
JIO003S2,JIO003,Jio,21.17472639378324,72.79118384846754,61.637373224863154,65.0,976.7486760372462
AIR004S0,AIR004,Airtel,21.182804083862134,72.80889168091966,223.98452259881856,65.0,1194.4800738409424
AIR004S1,AIR004,Airtel,21.182804083862134,72.80889168091966,343.98452259881856,65.0,1194.4800738409424
AIR004S2,AIR004,Airtel,21.182804083862134,72.80889168091966,103.98452259881856,65.0,1194.4800738409424
VI005S0,VI005,Vi,21.168284055792004,72.79032734496815,220.51425753829108,65.0,721.9710039806916
VI005S1,VI005,Vi,21.168284055792004,72.79032734496815,340.5142575382911,65.0,721.9710039806916
VI005S2,VI005,Vi,21.168284055792004,72.79032734496815,100.51425753829108,65.0,721.9710039806916
JIO006S0,JIO006,Jio,21.17623316971419,72.78588558713363,167.83416911710407,65.0,1158.583886596426
JIO006S1,JIO006,Jio,21.17623316971419,72.78588558713363,287.83416911710407,65.0,1158.583886596426
JIO006S2,JIO006,Jio,21.17623316971419,72.78588558713363,47.83416911710407,65.0,1158.583886596426
AIR007S0,AIR007,Airtel,21.176402275473176,72.80016974794536,178.87443674166153,65.0,823.7574610136654
AIR007S1,AIR007,Airtel,21.176402275473176,72.80016974794536,298.8744367416615,65.0,823.7574610136654
AIR007S2,AIR007,Airtel,21.176402275473176,72.80016974794536,58.8744367416615,65.0,823.7574610136654
VI008S0,VI008,Vi,21.16894656461885,72.78541915461908,249.1315635174621,65.0,800.3033619934976
VI008S1,VI008,Vi,21.16894656461885,72.78541915461908,9.131563517462098,65.0,800.3033619934976
VI008S2,VI008,Vi,21.16894656461885,72.78541915461908,129.1315635174621,65.0,800.3033619934976
JIO009S0,JIO009,Jio,21.16480052669386,72.79409106055213,298.8171827286284,65.0,777.23054053072
JIO009S1,JIO009,Jio,21.16480052669386,72.79409106055213,58.81718272862838,65.0,777.23054053072
JIO009S2,JIO009,Jio,21.16480052669386,72.79409106055213,178.81718272862838,65.0,777.23054053072
AIR010S0,AIR010,Airtel,21.18455489519185,72.79134423624117,183.52469155263233,65.0,1123.5751231829347
AIR010S1,AIR010,Airtel,21.18455489519185,72.79134423624117,303.52469155263236,65.0,1123.5751231829347
AIR010S2,AIR010,Airtel,21.18455489519185,72.79134423624117,63.52469155263236,65.0,1123.5751231829347
VI011S0,VI011,Vi,21.18154413259401,72.8003461906559,32.93841782269644,65.0,970.5719106882443
VI011S1,VI011,Vi,21.18154413259401,72.8003461906559,152.93841782269644,65.0,970.5719106882443
VI011S2,VI011,Vi,21.18154413259401,72.8003461906559,272.93841782269647,65.0,970.5719106882443
JIO012S0,JIO012,Jio,21.18442736894281,72.79712742108771,130.05506124509674,65.0,999.0920336036065
JIO012S1,JIO012,Jio,21.18442736894281,72.79712742108771,250.05506124509674,65.0,999.0920336036065
JIO012S2,JIO012,Jio,21.18442736894281,72.79712742108771,10.055061245096738,65.0,999.0920336036065
AIR013S0,AIR013,Airtel,21.173368190375456,72.78649559545764,116.29308465295439,65.0,775.099864535226
AIR013S1,AIR013,Airtel,21.173368190375456,72.78649559545764,236.2930846529544,65.0,775.099864535226
AIR013S2,AIR013,Airtel,21.173368190375456,72.78649559545764,356.2930846529544,65.0,775.099864535226
VI014S0,VI014,Vi,21.17342101901637,72.80471757244896,352.3492383880398,65.0,994.995846505305
VI014S1,VI014,Vi,21.17342101901637,72.80471757244896,112.3492383880398,65.0,994.995846505305
VI014S2,VI014,Vi,21.17342101901637,72.80471757244896,232.3492383880398,65.0,994.995846505305
JIO015S0,JIO015,Jio,21.179190887808804,72.79954670195038,243.52208777260378,65.0,775.3940095841843
JIO015S1,JIO015,Jio,21.179190887808804,72.79954670195038,3.5220877726037543,65.0,775.3940095841843
JIO015S2,JIO015,Jio,21.179190887808804,72.79954670195038,123.52208777260375,65.0,775.3940095841843
